DateTime,open,close,high,low
2022-03-24 08:40:15,446.18,446.07,446.19,446.07
2022-03-24 08:40:20,446.07,446.08,446.1,446.05
2022-03-24 08:40:25,446.08,445.97,446.1,445.96
2022-03-24 08:40:30,445.97,445.93,446.01,445.93
2022-03-24 08:40:35,445.93,446.01,446.01,445.93
2022-03-24 08:40:40,446.01,445.96,446.01,445.96
2022-03-24 08:40:45,445.96,445.98,445.98,445.92
2022-03-24 08:40:50,445.98,445.93,446,445.92
2022-03-24 08:40:55,445.93,445.93,445.95,445.91
2022-03-24 08:41:00,445.93,445.91,445.97,445.9
2022-03-24 08:41:05,445.91,445.97,445.97,445.89
2022-03-24 08:41:10,445.97,446.15,446.18,445.97
2022-03-24 08:41:15,446.15,446.06,446.17,446.05
2022-03-24 08:41:20,446.06,446,446.09,445.97
2022-03-24 08:41:25,446,445.97,446.03,445.95
2022-03-24 08:41:30,445.97,446.04,446.04,445.97
2022-03-24 08:41:35,446.04,446,446.07,445.96
2022-03-24 08:41:40,446,445.98,446.02,445.97
2022-03-24 08:41:45,445.98,445.95,446,445.91
2022-03-24 08:41:50,445.95,446.04,446.05,445.92
2022-03-24 08:41:55,446.04,446.08,446.1,446.02
2022-03-24 08:42:00,446.08,446.15,446.15,446.03
2022-03-24 08:42:05,446.15,446.12,446.18,446.11
2022-03-24 08:42:10,446.12,446.16,446.19,446.12
2022-03-24 08:42:15,446.16,446.17,446.19,446.15
2022-03-24 08:42:20,446.17,446.11,446.19,446.1
2022-03-24 08:42:25,446.11,446.18,446.19,446.11
2022-03-24 08:42:30,446.18,446.18,446.19,446.16
2022-03-24 08:42:35,446.18,446.16,446.22,446.16
2022-03-24 08:42:40,446.16,446.13,446.17,446.09
2022-03-24 08:42:45,446.13,446.19,446.21,446.11
2022-03-24 08:42:50,446.19,446.11,446.21,446.09
2022-03-24 08:42:55,446.11,446.07,446.11,446.05
2022-03-24 08:43:00,446.07,446.06,446.09,446
2022-03-24 08:43:05,446.06,446.02,446.07,445.98
2022-03-24 08:43:10,446.02,446.1,446.14,445.98
2022-03-24 08:43:15,446.1,446.17,446.2,446.1
2022-03-24 08:43:20,446.17,446.2,446.21,446.13
2022-03-24 08:43:25,446.2,446.17,446.21,446.13
2022-03-24 08:43:30,446.17,446.36,446.37,446.17
2022-03-24 08:43:35,446.36,446.35,446.38,446.35
2022-03-24 08:43:40,446.35,446.27,446.36,446.25
2022-03-24 08:43:45,446.27,446.21,446.29,446.18
2022-03-24 08:43:50,446.21,446.25,446.25,446.18
2022-03-24 08:43:55,446.25,446.26,446.29,446.24
2022-03-24 08:44:00,446.26,446.27,446.28,446.19
2022-03-24 08:44:05,446.27,446.3,446.3,446.23
2022-03-24 08:44:10,446.3,446.33,446.34,446.27
2022-03-24 08:44:15,446.33,446.35,446.37,446.31
2022-03-24 08:44:20,446.35,446.32,446.39,446.3
2022-03-24 08:44:25,446.32,446.36,446.36,446.31
2022-03-24 08:44:30,446.36,446.31,446.39,446.3
2022-03-24 08:44:35,446.31,446.29,446.33,446.26
2022-03-24 08:44:40,446.29,446.31,446.33,446.29
2022-03-24 08:44:45,446.31,446.37,446.38,446.31
2022-03-24 08:44:50,446.37,446.34,446.37,446.3
2022-03-24 08:44:55,446.34,446.48,446.49,446.32
2022-03-24 08:45:00,446.48,446.45,446.53,446.4
2022-03-24 08:45:05,446.45,446.51,446.55,446.41
2022-03-24 08:45:10,446.51,446.51,446.55,446.5
2022-03-24 08:45:15,446.51,446.53,446.55,446.5
2022-03-24 08:45:20,446.53,446.69,446.7,446.53
2022-03-24 08:45:25,446.69,446.56,446.69,446.53
2022-03-24 08:45:30,446.56,446.63,446.65,446.54
2022-03-24 08:45:35,446.63,446.62,446.66,446.6
2022-03-24 08:45:40,446.62,446.71,446.76,446.61
2022-03-24 08:45:45,446.71,446.73,446.74,446.68
2022-03-24 08:45:50,446.73,446.7,446.75,446.69
2022-03-24 08:45:55,446.7,446.75,446.79,446.7
2022-03-24 08:46:00,446.75,446.76,446.82,446.73
2022-03-24 08:46:05,446.76,446.81,446.81,446.73
2022-03-24 08:46:10,446.81,446.81,446.83,446.78
2022-03-24 08:46:15,446.81,446.78,446.84,446.77
2022-03-24 08:46:20,446.78,446.7,446.79,446.68
2022-03-24 08:46:25,446.7,446.74,446.77,446.69
2022-03-24 08:46:30,446.74,446.72,446.75,446.67
2022-03-24 08:46:35,446.72,446.7,446.78,446.7
2022-03-24 08:46:40,446.7,446.73,446.74,446.68
2022-03-24 08:46:45,446.73,446.72,446.73,446.69
2022-03-24 08:46:50,446.72,446.76,446.76,446.72
2022-03-24 08:46:55,446.76,446.73,446.76,446.72
2022-03-24 08:47:00,446.73,446.82,446.83,446.73
2022-03-24 08:47:05,446.82,446.83,446.87,446.81
2022-03-24 08:47:10,446.83,446.73,446.83,446.69
2022-03-24 08:47:15,446.73,446.69,446.74,446.62
2022-03-24 08:47:20,446.69,446.69,446.73,446.67
2022-03-24 08:47:25,446.69,446.72,446.77,446.68
2022-03-24 08:47:30,446.72,446.77,446.79,446.71
2022-03-24 08:47:35,446.77,446.77,446.8,446.75
2022-03-24 08:47:40,446.77,446.74,446.77,446.73
2022-03-24 08:47:45,446.74,446.73,446.74,446.67
2022-03-24 08:47:50,446.73,446.75,446.76,446.72
2022-03-24 08:47:55,446.75,446.82,446.82,446.73
2022-03-24 08:48:00,446.82,446.76,446.86,446.72
2022-03-24 08:48:05,446.76,446.7,446.76,446.69
2022-03-24 08:48:10,446.7,446.83,446.84,446.69
2022-03-24 08:48:15,446.83,446.86,446.87,446.81
2022-03-24 08:48:20,446.86,446.87,446.9,446.86
2022-03-24 08:48:25,446.87,446.85,446.92,446.82
2022-03-24 08:48:30,446.85,446.78,446.87,446.77
2022-03-24 08:48:35,446.78,446.79,446.82,446.75
2022-03-24 08:48:40,446.79,446.72,446.81,446.7
2022-03-24 08:48:45,446.72,446.74,446.76,446.72
2022-03-24 08:48:50,446.74,446.75,446.77,446.73
2022-03-24 08:48:55,446.75,446.79,446.81,446.74
2022-03-24 08:49:00,446.79,446.76,446.8,446.72
2022-03-24 08:49:05,446.76,446.68,446.79,446.68
2022-03-24 08:49:10,446.68,446.76,446.76,446.65
2022-03-24 08:49:15,446.76,446.81,446.82,446.75
2022-03-24 08:49:20,446.81,446.72,446.81,446.71
2022-03-24 08:49:25,446.72,446.7,446.74,446.7
2022-03-24 08:49:30,446.7,446.72,446.72,446.66
2022-03-24 08:49:35,446.72,446.7,446.72,446.69
2022-03-24 08:49:40,446.7,446.68,446.73,446.67
2022-03-24 08:49:45,446.68,446.66,446.68,446.64
2022-03-24 08:49:50,446.66,446.74,446.76,446.65
2022-03-24 08:49:55,446.74,446.72,446.76,446.69
2022-03-24 08:50:00,446.72,446.6,446.73,446.59
